danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name
0.286,0.907,7,-9.67,1,0.0374,2.77e-4,0.202,0.0837,0.746,156.395,audio_features,0WIbzDVEpmOyBnqqdtqIL9,spotify:track:0WIbzDVEpmOyBnqqdtqIL9,https://api.spotify.com/v1/tracks/0WIbzDVEpmOyBnqqdtqIL9,https://api.spotify.com/v1/audio-analysis/0WIbzDVEpmOyBnqqdtqIL9,417800,4,Teen Age Riot (Album Version)
0.416,0.98,4,-2.175,1,0.108,1.25e-4,0,0.332,0.612,195.972,audio_features,3mzV0WDATjcpzcTNK2TLJw,spotify:track:3mzV0WDATjcpzcTNK2TLJw,https://api.spotify.com/v1/tracks/3mzV0WDATjcpzcTNK2TLJw,https://api.spotify.com/v1/audio-analysis/3mzV0WDATjcpzcTNK2TLJw,209427,4,Looking Up
0.261,0.859,0,-3.753,1,0.0825,0.00246,4.66e-5,0.289,0.462,172.866,audio_features,3TdQKQ7ouZCiodSphA9SRr,spotify:track:3TdQKQ7ouZCiodSphA9SRr,https://api.spotify.com/v1/tracks/3TdQKQ7ouZCiodSphA9SRr,https://api.spotify.com/v1/audio-analysis/3TdQKQ7ouZCiodSphA9SRr,213467,4,Twist
0.68,0.715,2,-5.407,1,0.0352,0.346,0,0.102,0.691,118.073,audio_features,6jNCcWc40VzByjQKesMIyp,spotify:track:6jNCcWc40VzByjQKesMIyp,https://api.spotify.com/v1/tracks/6jNCcWc40VzByjQKesMIyp,https://api.spotify.com/v1/audio-analysis/6jNCcWc40VzByjQKesMIyp,202125,4,626 Bedford Avenue
0.353,0.866,2,-3.274,1,0.0392,3.03e-5,3e-5,0.295,0.544,165.215,audio_features,6Ca3uEAuun3HusTUiIXKs1,spotify:track:6Ca3uEAuun3HusTUiIXKs1,https://api.spotify.com/v1/tracks/6Ca3uEAuun3HusTUiIXKs1,https://api.spotify.com/v1/audio-analysis/6Ca3uEAuun3HusTUiIXKs1,174013,4,If You Wanna
0.322,0.847,11,-4.716,1,0.0349,4.92e-6,0.0246,0.25,0.86,173.917,audio_features,07e14r44g2EeOg9PIFsimm,spotify:track:07e14r44g2EeOg9PIFsimm,https://api.spotify.com/v1/tracks/07e14r44g2EeOg9PIFsimm,https://api.spotify.com/v1/audio-analysis/07e14r44g2EeOg9PIFsimm,98400,4,Norgaard
0.401,0.902,5,-4.115,1,0.0469,7.32e-5,0.00465,0.261,0.57,136.873,audio_features,47oXAoC5TynVLCZ3FKb0gC,spotify:track:47oXAoC5TynVLCZ3FKb0gC,https://api.spotify.com/v1/tracks/47oXAoC5TynVLCZ3FKb0gC,https://api.spotify.com/v1/audio-analysis/47oXAoC5TynVLCZ3FKb0gC,174453,4,Post Break-Up Sex
0.691,0.918,0,-3.916,1,0.0541,0.00542,4.82e-4,0.0914,0.515,107.013,audio_features,3LrXLZYZDCGbhjwXi8g6z1,spotify:track:3LrXLZYZDCGbhjwXi8g6z1,https://api.spotify.com/v1/tracks/3LrXLZYZDCGbhjwXi8g6z1,https://api.spotify.com/v1/audio-analysis/3LrXLZYZDCGbhjwXi8g6z1,145134,4,The Whale Song
0.689,0.739,2,-5.81,1,0.026,1.51e-5,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4,On Melancholy Hill
0.6,0.746,4,-4.696,0,0.0355,0.0226,0.0119,0.109,0.614,118.551,audio_features,31u6rUeIEXGrYVoh10U7eu,spotify:track:31u6rUeIEXGrYVoh10U7eu,https://api.spotify.com/v1/tracks/31u6rUeIEXGrYVoh10U7eu,https://api.spotify.com/v1/audio-analysis/31u6rUeIEXGrYVoh10U7eu,239442,4,Leave It In My Dreams
0.658,0.65,9,-6.635,1,0.0267,0.0977,0.0155,0.0821,0.473,100.003,audio_features,4pPwYE2hoyDWfdyFt7FNJZ,spotify:track:4pPwYE2hoyDWfdyFt7FNJZ,https://api.spotify.com/v1/tracks/4pPwYE2hoyDWfdyFt7FNJZ,https://api.spotify.com/v1/audio-analysis/4pPwYE2hoyDWfdyFt7FNJZ,282787,4,Heart Basel
0.424,0.841,7,-8.42,1,0.0538,0.00129,0.205,0.103,0.375,169.97,audio_features,3oZ6x4CQ4s5HzSRzlkFXRQ,spotify:track:3oZ6x4CQ4s5HzSRzlkFXRQ,https://api.spotify.com/v1/tracks/3oZ6x4CQ4s5HzSRzlkFXRQ,https://api.spotify.com/v1/audio-analysis/3oZ6x4CQ4s5HzSRzlkFXRQ,321116,4,"Heck You Bart, Pt. II: Electric Boogaloo"
0.43,0.861,1,-6.871,1,0.136,0.0015,1.71e-6,0.213,0.594,173.968,audio_features,61U4Nl6gYbKyqnQRpieO3v,spotify:track:61U4Nl6gYbKyqnQRpieO3v,https://api.spotify.com/v1/tracks/61U4Nl6gYbKyqnQRpieO3v,https://api.spotify.com/v1/audio-analysis/61U4Nl6gYbKyqnQRpieO3v,128089,4,Shred Cruz
0.667,0.692,5,-8.361,1,0.0285,0.147,3.75e-5,0.349,0.846,96.022,audio_features,0jBE7Fn78EAvmIs3dCd6GO,spotify:track:0jBE7Fn78EAvmIs3dCd6GO,https://api.spotify.com/v1/tracks/0jBE7Fn78EAvmIs3dCd6GO,https://api.spotify.com/v1/audio-analysis/0jBE7Fn78EAvmIs3dCd6GO,151333,4,Is This It
0.528,0.888,2,-6.039,1,0.0326,0.0116,0.756,0.154,0.897,145.971,audio_features,1420BGhbXGkIJtbtBlfpYE,spotify:track:1420BGhbXGkIJtbtBlfpYE,https://api.spotify.com/v1/tracks/1420BGhbXGkIJtbtBlfpYE,https://api.spotify.com/v1/audio-analysis/1420BGhbXGkIJtbtBlfpYE,208067,4,The Modern Age
0.499,0.706,0,-7.335,1,0.0302,0.0747,0.00289,0.0753,0.483,148.928,audio_features,6gU7ohksNd6LsEJMWfDRhp,spotify:track:6gU7ohksNd6LsEJMWfDRhp,https://api.spotify.com/v1/tracks/6gU7ohksNd6LsEJMWfDRhp,https://api.spotify.com/v1/audio-analysis/6gU7ohksNd6LsEJMWfDRhp,153840,4,Soma
0.424,0.884,0,-6.286,1,0.0365,0.00326,0.0499,0.0903,0.852,157.813,audio_features,21Ay8Y9Pr91nSauPGtK6MW,spotify:track:21Ay8Y9Pr91nSauPGtK6MW,https://api.spotify.com/v1/tracks/21Ay8Y9Pr91nSauPGtK6MW,https://api.spotify.com/v1/audio-analysis/21Ay8Y9Pr91nSauPGtK6MW,234693,4,Barely Legal
0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,audio_features,7hm4HTk9encxT0LYC0J6oI,spotify:track:7hm4HTk9encxT0LYC0J6oI,https://api.spotify.com/v1/tracks/7hm4HTk9encxT0LYC0J6oI,https://api.spotify.com/v1/audio-analysis/7hm4HTk9encxT0LYC0J6oI,183440,4,Someday
0.624,0.899,0,-5.709,1,0.0296,0.0221,1.37e-4,0.0975,0.79,104.061,audio_features,3SUusuA9jH1v6PVwtYMbdv,spotify:track:3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/tracks/3SUusuA9jH1v6PVwtYMbdv,https://api.spotify.com/v1/audio-analysis/3SUusuA9jH1v6PVwtYMbdv,193373,4,Last Nite
0.408,0.666,7,-6.286,1,0.0578,4.55e-4,0.862,0.0889,0.666,82.523,audio_features,0OM9ri37LIbPc9hffwsyb1,spotify:track:0OM9ri37LIbPc9hffwsyb1,https://api.spotify.com/v1/tracks/0OM9ri37LIbPc9hffwsyb1,https://api.spotify.com/v1/audio-analysis/0OM9ri37LIbPc9hffwsyb1,224333,4,Hard To Explain
0.721,0.654,0,-8.107,1,0.0329,0.268,0.00392,0.15,0.903,131.963,audio_features,3iiObSfkcBsETljmSB4Hcs,spotify:track:3iiObSfkcBsETljmSB4Hcs,https://api.spotify.com/v1/tracks/3iiObSfkcBsETljmSB4Hcs,https://api.spotify.com/v1/audio-analysis/3iiObSfkcBsETljmSB4Hcs,175200,4,When It Started
0.603,0.952,6,-3.699,1,0.0947,0.00189,4.45e-4,0.317,0.588,133.97,audio_features,573latfTMO7SpGtStVrQx5,spotify:track:573latfTMO7SpGtStVrQx5,https://api.spotify.com/v1/tracks/573latfTMO7SpGtStVrQx5,https://api.spotify.com/v1/audio-analysis/573latfTMO7SpGtStVrQx5,163627,4,Harlem
0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,audio_features,5ruzrDWcT0vuJIOMW7gMnW,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/tracks/5ruzrDWcT0vuJIOMW7gMnW,https://api.spotify.com/v1/audio-analysis/5ruzrDWcT0vuJIOMW7gMnW,309053,4,The Adults Are Talking
0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,audio_features,55N8cxpE1QDoeaaNqUnoZ2,spotify:track:55N8cxpE1QDoeaaNqUnoZ2,https://api.spotify.com/v1/tracks/55N8cxpE1QDoeaaNqUnoZ2,https://api.spotify.com/v1/audio-analysis/55N8cxpE1QDoeaaNqUnoZ2,293360,4,Bad Decisions
0.396,0.884,9,-7.643,1,0.0399,3.14e-4,0.117,0.121,0.903,162.383,audio_features,3YZbmGFYiDBjURkxKT6QxE,spotify:track:3YZbmGFYiDBjURkxKT6QxE,https://api.spotify.com/v1/tracks/3YZbmGFYiDBjURkxKT6QxE,https://api.spotify.com/v1/audio-analysis/3YZbmGFYiDBjURkxKT6QxE,161525,4,Paying Off the Happiness (Audiotree Live Version)
0.761,0.637,7,-8.169,1,0.0268,0.439,0.0082,0.102,0.656,125.115,audio_features,6kblAEj0T0312fv5QWsXzo,spotify:track:6kblAEj0T0312fv5QWsXzo,https://api.spotify.com/v1/tracks/6kblAEj0T0312fv5QWsXzo,https://api.spotify.com/v1/audio-analysis/6kblAEj0T0312fv5QWsXzo,235387,4,Congratulations
0.489,0.649,9,-5.11,1,0.0336,6.03e-4,0.713,0.101,0.77,158.009,audio_features,57Xjny5yNzAcsxnusKmAfA,spotify:track:57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/tracks/57Xjny5yNzAcsxnusKmAfA,https://api.spotify.com/v1/audio-analysis/57Xjny5yNzAcsxnusKmAfA,219827,4,Reptilia
0.675,0.535,1,-6.109,1,0.0376,0.00329,0.719,0.104,0.914,105.921,audio_features,6DUKQUhWqUySYngLXLNwP2,spotify:track:6DUKQUhWqUySYngLXLNwP2,https://api.spotify.com/v1/tracks/6DUKQUhWqUySYngLXLNwP2,https://api.spotify.com/v1/audio-analysis/6DUKQUhWqUySYngLXLNwP2,207133,4,Automatic Stop
0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,audio_features,6Yu1OL8I0D4vjOzYdsXYGK,spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/tracks/6Yu1OL8I0D4vjOzYdsXYGK,https://api.spotify.com/v1/audio-analysis/6Yu1OL8I0D4vjOzYdsXYGK,153133,4,12:51
0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,audio_features,6lnnaGN20kl0jEYJSxCgU9,spotify:track:6lnnaGN20kl0jEYJSxCgU9,https://api.spotify.com/v1/tracks/6lnnaGN20kl0jEYJSxCgU9,https://api.spotify.com/v1/audio-analysis/6lnnaGN20kl0jEYJSxCgU9,186267,4,You Talk Way Too Much
0.427,0.941,7,-3.973,1,0.0336,6.7e-5,0.89,0.0772,0.587,139.956,audio_features,08l9WKDuRyGeStQ9ojTlFh,spotify:track:08l9WKDuRyGeStQ9ojTlFh,https://api.spotify.com/v1/tracks/08l9WKDuRyGeStQ9ojTlFh,https://api.spotify.com/v1/audio-analysis/08l9WKDuRyGeStQ9ojTlFh,176160,4,Meet Me in the Bathroom
0.406,0.72,1,-4.647,1,0.0291,0.354,0.795,0.0541,0.641,91.336,audio_features,3kKb3U3a8jmUJQB9ypE1Jl,spotify:track:3kKb3U3a8jmUJQB9ypE1Jl,https://api.spotify.com/v1/tracks/3kKb3U3a8jmUJQB9ypE1Jl,https://api.spotify.com/v1/audio-analysis/3kKb3U3a8jmUJQB9ypE1Jl,187307,4,Under Control
0.531,0.66,1,-3.725,1,0.0335,8.33e-4,0.855,0.226,0.533,136.027,audio_features,0dy6iXYIF0piirySAzCBwF,spotify:track:0dy6iXYIF0piirySAzCBwF,https://api.spotify.com/v1/tracks/0dy6iXYIF0piirySAzCBwF,https://api.spotify.com/v1/audio-analysis/0dy6iXYIF0piirySAzCBwF,185560,4,The End Has No End
0.472,0.746,11,-4.816,1,0.0321,0.00581,0.663,0.0999,0.403,97.44,audio_features,7eX5SypK35V8Y9d9pS6rWy,spotify:track:7eX5SypK35V8Y9d9pS6rWy,https://api.spotify.com/v1/tracks/7eX5SypK35V8Y9d9pS6rWy,https://api.spotify.com/v1/audio-analysis/7eX5SypK35V8Y9d9pS6rWy,162040,4,I Can't Win
0.537,0.414,2,-7.952,1,0.0404,0.218,2.1e-6,0.103,0.459,117.101,audio_features,75hwtYcghca6YKW4i6C6fP,spotify:track:75hwtYcghca6YKW4i6C6fP,https://api.spotify.com/v1/tracks/75hwtYcghca6YKW4i6C6fP,https://api.spotify.com/v1/audio-analysis/75hwtYcghca6YKW4i6C6fP,374653,4,Drunk Drivers/Killer Whales
0.578,0.669,10,-4.898,1,0.0377,0.65,0,0.13,0.503,75.995,audio_features,1175r6ZmkUjX8dRJLz9Ohk,spotify:track:1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/tracks/1175r6ZmkUjX8dRJLz9Ohk,https://api.spotify.com/v1/audio-analysis/1175r6ZmkUjX8dRJLz9Ohk,160254,4,I Love You So
