"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track.name","person"
"125",0.695,0.402,6,-9.456,1,0.0624,0.18,0.933,0.354,0.945,185.215,"audio_features","1zuPrkzdagicHTMC78LejJ","spotify:track:1zuPrkzdagicHTMC78LejJ","https://api.spotify.com/v1/tracks/1zuPrkzdagicHTMC78LejJ","https://api.spotify.com/v1/audio-analysis/1zuPrkzdagicHTMC78LejJ",130800,4,"Arrow Root","Hope Hahn"
"126",0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,"audio_features","7eWGnKg4B44sbBPpQp4y2c","spotify:track:7eWGnKg4B44sbBPpQp4y2c","https://api.spotify.com/v1/tracks/7eWGnKg4B44sbBPpQp4y2c","https://api.spotify.com/v1/audio-analysis/7eWGnKg4B44sbBPpQp4y2c",181922,4,"Dragonball Durag","Hope Hahn"
"127",0.377,0.558,4,-9.076,1,0.0299,0.0789,0.000342,0.125,0.267,149.971,"audio_features","3L3G4XFQqtFe9a3azMacZ5","spotify:track:3L3G4XFQqtFe9a3azMacZ5","https://api.spotify.com/v1/tracks/3L3G4XFQqtFe9a3azMacZ5","https://api.spotify.com/v1/audio-analysis/3L3G4XFQqtFe9a3azMacZ5",214800,3,"Good Looking","Hope Hahn"
"128",0.77,0.539,4,-7.705,0,0.297,0.674,1.09e-06,0.158,0.39,84.977,"audio_features","5aJOyuvqhcCRpaUCubwXk9","spotify:track:5aJOyuvqhcCRpaUCubwXk9","https://api.spotify.com/v1/tracks/5aJOyuvqhcCRpaUCubwXk9","https://api.spotify.com/v1/audio-analysis/5aJOyuvqhcCRpaUCubwXk9",192000,4,"The Ballad of Eddie Jabuley","Hope Hahn"
"129",0.6,0.505,4,-7.887,1,0.0346,0.306,0.818,0.0826,0.584,120.023,"audio_features","1CPoZksD5MBtt1bUr1de35","spotify:track:1CPoZksD5MBtt1bUr1de35","https://api.spotify.com/v1/tracks/1CPoZksD5MBtt1bUr1de35","https://api.spotify.com/v1/audio-analysis/1CPoZksD5MBtt1bUr1de35",172133,4,"painty paint pots","Hope Hahn"
"130",0.485,0.409,9,-10.711,0,0.101,0.325,0,0.103,0.376,138.419,"audio_features","3hxIUxnT27p5WcmjGUXNwx","spotify:track:3hxIUxnT27p5WcmjGUXNwx","https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx","https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx",164571,4,"Shut up My Moms Calling","Hope Hahn"
"131",0.723,0.615,9,-7.287,0,0.059,0.849,0.883,0.108,0.614,119.247,"audio_features","3KhPLLQjXodVQU9FoIlCUh","spotify:track:3KhPLLQjXodVQU9FoIlCUh","https://api.spotify.com/v1/tracks/3KhPLLQjXodVQU9FoIlCUh","https://api.spotify.com/v1/audio-analysis/3KhPLLQjXodVQU9FoIlCUh",155855,4,"Le château","Hope Hahn"
"132",0.503,0.72,11,-12.002,0,0.13,0.00402,0.391,0.112,0.943,93.94,"audio_features","7cOmsSyGKpGLdsDdsgALCY","spotify:track:7cOmsSyGKpGLdsDdsgALCY","https://api.spotify.com/v1/tracks/7cOmsSyGKpGLdsDdsgALCY","https://api.spotify.com/v1/audio-analysis/7cOmsSyGKpGLdsDdsgALCY",142979,4,"Meow","Hope Hahn"
"133",0.528,0.56,2,-6.3,1,0.0295,0.447,0.00904,0.0945,0.475,105.102,"audio_features","7IBI2S33PMaIM9pARvpIJY","spotify:track:7IBI2S33PMaIM9pARvpIJY","https://api.spotify.com/v1/tracks/7IBI2S33PMaIM9pARvpIJY","https://api.spotify.com/v1/audio-analysis/7IBI2S33PMaIM9pARvpIJY",201870,4,"Silver Into Rain","Hope Hahn"
"134",0.682,0.561,7,-7.489,0,0.0263,0.431,0.00201,0.224,0.466,102.472,"audio_features","2vzDhuVvlF2ezj27pemu7F","spotify:track:2vzDhuVvlF2ezj27pemu7F","https://api.spotify.com/v1/tracks/2vzDhuVvlF2ezj27pemu7F","https://api.spotify.com/v1/audio-analysis/2vzDhuVvlF2ezj27pemu7F",203375,4,"Eleven","Hope Hahn"
"135",0.74,0.544,2,-12.847,1,0.0335,0.375,0.00961,0.0967,0.45,100.979,"audio_features","58ZHuSI9SWvWU66n43kafK","spotify:track:58ZHuSI9SWvWU66n43kafK","https://api.spotify.com/v1/tracks/58ZHuSI9SWvWU66n43kafK","https://api.spotify.com/v1/audio-analysis/58ZHuSI9SWvWU66n43kafK",266139,4,"Softly Spoken","Hope Hahn"
"136",0.568,0.337,4,-11.004,1,0.0277,0.937,0.408,0.113,0.312,84.973,"audio_features","3pqSUnc3Inyyw9DOCcCrOC","spotify:track:3pqSUnc3Inyyw9DOCcCrOC","https://api.spotify.com/v1/tracks/3pqSUnc3Inyyw9DOCcCrOC","https://api.spotify.com/v1/audio-analysis/3pqSUnc3Inyyw9DOCcCrOC",170000,4,"Slowtime","Hope Hahn"
"137",0.722,0.514,1,-5.709,0,0.0487,0.624,0,0.3,0.59,129.997,"audio_features","5YAO57ujV1cs5eubzyOL1E","spotify:track:5YAO57ujV1cs5eubzyOL1E","https://api.spotify.com/v1/tracks/5YAO57ujV1cs5eubzyOL1E","https://api.spotify.com/v1/audio-analysis/5YAO57ujV1cs5eubzyOL1E",210853,4,"긴 밤 (feat. GIRIBOY)","Hope Hahn"
"138",0.733,0.912,10,-3.506,1,0.0304,0.0103,0,0.199,0.668,126.95,"audio_features","3XLWCoZubMt1WPp7TmSNAP","spotify:track:3XLWCoZubMt1WPp7TmSNAP","https://api.spotify.com/v1/tracks/3XLWCoZubMt1WPp7TmSNAP","https://api.spotify.com/v1/audio-analysis/3XLWCoZubMt1WPp7TmSNAP",202606,4,"Home Alone","Hope Hahn"
"139",0.644,0.609,9,-4.498,1,0.0379,0.191,4.32e-05,0.0714,0.65,128.01,"audio_features","4nXbMeiYZCMxl2B7NvxLdR","spotify:track:4nXbMeiYZCMxl2B7NvxLdR","https://api.spotify.com/v1/tracks/4nXbMeiYZCMxl2B7NvxLdR","https://api.spotify.com/v1/audio-analysis/4nXbMeiYZCMxl2B7NvxLdR",258421,4,"A Long Dream","Hope Hahn"
"140",0.659,0.842,6,-2.388,1,0.0275,0.114,3.01e-06,0.107,0.18,102.92,"audio_features","1KQrnUtKigVAtDZc6M7UsM","spotify:track:1KQrnUtKigVAtDZc6M7UsM","https://api.spotify.com/v1/tracks/1KQrnUtKigVAtDZc6M7UsM","https://api.spotify.com/v1/audio-analysis/1KQrnUtKigVAtDZc6M7UsM",257452,4,"Thanks to","Hope Hahn"
"141",0.414,0.889,11,-9.578,1,0.0567,0.000109,4.25e-06,0.0705,0.512,100.243,"audio_features","6D60SYI1Jk4V023qpJa4oi","spotify:track:6D60SYI1Jk4V023qpJa4oi","https://api.spotify.com/v1/tracks/6D60SYI1Jk4V023qpJa4oi","https://api.spotify.com/v1/audio-analysis/6D60SYI1Jk4V023qpJa4oi",170667,4,"Goth Babe","Hope Hahn"
"142",0.311,0.783,0,-3.436,1,0.0407,0.0384,0.884,0.483,0.823,182.83,"audio_features","2BHD7g841rwlLFDzItSC7B","spotify:track:2BHD7g841rwlLFDzItSC7B","https://api.spotify.com/v1/tracks/2BHD7g841rwlLFDzItSC7B","https://api.spotify.com/v1/audio-analysis/2BHD7g841rwlLFDzItSC7B",235726,4,"One Summer Night","Hope Hahn"
"143",0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,"audio_features","0tkBOcK7oRVXQJY97zzSvr","spotify:track:0tkBOcK7oRVXQJY97zzSvr","https://api.spotify.com/v1/tracks/0tkBOcK7oRVXQJY97zzSvr","https://api.spotify.com/v1/audio-analysis/0tkBOcK7oRVXQJY97zzSvr",228293,4,"Telescope","Hope Hahn"
"144",0.781,0.636,7,-7.474,1,0.0324,0.192,0.0578,0.208,0.969,113.021,"audio_features","5Gw9lA7XwCN7KI7QnS0Ke2","spotify:track:5Gw9lA7XwCN7KI7QnS0Ke2","https://api.spotify.com/v1/tracks/5Gw9lA7XwCN7KI7QnS0Ke2","https://api.spotify.com/v1/audio-analysis/5Gw9lA7XwCN7KI7QnS0Ke2",219987,4,"あこがれ","Hope Hahn"
"145",0.327,0.948,8,-4.355,1,0.0711,0.0355,0.515,0.126,0.469,177.328,"audio_features","2VvfTbJWcguP88dvnpH7hl","spotify:track:2VvfTbJWcguP88dvnpH7hl","https://api.spotify.com/v1/tracks/2VvfTbJWcguP88dvnpH7hl","https://api.spotify.com/v1/audio-analysis/2VvfTbJWcguP88dvnpH7hl",207640,4,"Adult Diversion","Hope Hahn"
"146",0.623,0.664,4,-6.962,1,0.026,0.0621,0.0128,0.16,0.415,124.994,"audio_features","5nradlxm7nAzQVjRWXK8rG","spotify:track:5nradlxm7nAzQVjRWXK8rG","https://api.spotify.com/v1/tracks/5nradlxm7nAzQVjRWXK8rG","https://api.spotify.com/v1/audio-analysis/5nradlxm7nAzQVjRWXK8rG",250640,4,"Tearjerker","Hope Hahn"
"147",0.289,0.595,7,-6.22,1,0.0321,0.549,0.151,0.11,0.26,134.023,"audio_features","2S6HpHHz1GIhNfiXy3mJDy","spotify:track:2S6HpHHz1GIhNfiXy3mJDy","https://api.spotify.com/v1/tracks/2S6HpHHz1GIhNfiXy3mJDy","https://api.spotify.com/v1/audio-analysis/2S6HpHHz1GIhNfiXy3mJDy",188661,3,"Downtown","Hope Hahn"
"148",0.832,0.454,6,-13.399,0,0.0728,0.433,0.133,0.35,0.711,116.877,"audio_features","35HusLibk4RIHUh7nheP10","spotify:track:35HusLibk4RIHUh7nheP10","https://api.spotify.com/v1/tracks/35HusLibk4RIHUh7nheP10","https://api.spotify.com/v1/audio-analysis/35HusLibk4RIHUh7nheP10",178179,4,"Get Fucked","Hope Hahn"
"149",0.622,0.785,7,-7.018,1,0.03,0.134,3.94e-05,0.108,0.747,111.977,"audio_features","08VmsF8pxSVk0cWPAGdSj2","spotify:track:08VmsF8pxSVk0cWPAGdSj2","https://api.spotify.com/v1/tracks/08VmsF8pxSVk0cWPAGdSj2","https://api.spotify.com/v1/audio-analysis/08VmsF8pxSVk0cWPAGdSj2",228680,4,"Grass Eater","Hope Hahn"
"150",0.624,0.596,4,-9.804,1,0.0314,0.475,0.203,0.119,0.896,120.969,"audio_features","3koAwrM1RO0TGMeQJ3qt9J","spotify:track:3koAwrM1RO0TGMeQJ3qt9J","https://api.spotify.com/v1/tracks/3koAwrM1RO0TGMeQJ3qt9J","https://api.spotify.com/v1/audio-analysis/3koAwrM1RO0TGMeQJ3qt9J",89509,4,"$10","Hope Hahn"
"151",0.744,0.438,0,-8.527,1,0.0482,0.689,0,0.101,0.925,132.006,"audio_features","2vj1gPvngTblmHXCvH3u2H","spotify:track:2vj1gPvngTblmHXCvH3u2H","https://api.spotify.com/v1/tracks/2vj1gPvngTblmHXCvH3u2H","https://api.spotify.com/v1/audio-analysis/2vj1gPvngTblmHXCvH3u2H",148894,4,"Nani Koolau","Hope Hahn"
"152",0.544,0.504,10,-9.299,0,0.0327,0.809,0.138,0.135,0.638,81.5,"audio_features","2cX5koYbXtrs4IpnVxHx7A","spotify:track:2cX5koYbXtrs4IpnVxHx7A","https://api.spotify.com/v1/tracks/2cX5koYbXtrs4IpnVxHx7A","https://api.spotify.com/v1/audio-analysis/2cX5koYbXtrs4IpnVxHx7A",192373,4,"Trophy","Hope Hahn"
"153",0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,"audio_features","0R3TWpoxAhT3HDXM7tpRzS","spotify:track:0R3TWpoxAhT3HDXM7tpRzS","https://api.spotify.com/v1/tracks/0R3TWpoxAhT3HDXM7tpRzS","https://api.spotify.com/v1/audio-analysis/0R3TWpoxAhT3HDXM7tpRzS",126120,4,"Ghostride","Hope Hahn"
"154",0.57,0.517,9,-12.352,1,0.0312,0.717,0.671,0.149,0.619,122.871,"audio_features","3Bw3v2zZpA1Yo5faG2WYON","spotify:track:3Bw3v2zZpA1Yo5faG2WYON","https://api.spotify.com/v1/tracks/3Bw3v2zZpA1Yo5faG2WYON","https://api.spotify.com/v1/audio-analysis/3Bw3v2zZpA1Yo5faG2WYON",159760,4,"5 a.m.","Hope Hahn"
"155",0.505,0.427,0,-9.499,1,0.0382,0.654,3.06e-05,0.158,0.707,188.501,"audio_features","5yvSUfFslpf7W9HXbQJa4t","spotify:track:5yvSUfFslpf7W9HXbQJa4t","https://api.spotify.com/v1/tracks/5yvSUfFslpf7W9HXbQJa4t","https://api.spotify.com/v1/audio-analysis/5yvSUfFslpf7W9HXbQJa4t",153600,4,"This Strange Effect - Live at Aeolian Hall, 1965","Hope Hahn"
"156",0.658,0.67,7,-7.093,0,0.0255,0.499,0.0071,0.256,0.696,95.3,"audio_features","1rcxltU3Mzn8gN6Z8ly9Zh","spotify:track:1rcxltU3Mzn8gN6Z8ly9Zh","https://api.spotify.com/v1/tracks/1rcxltU3Mzn8gN6Z8ly9Zh","https://api.spotify.com/v1/audio-analysis/1rcxltU3Mzn8gN6Z8ly9Zh",233559,4,"Visions","Hope Hahn"
"157",0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,"audio_features","0iTpQYzJnYgh7kIxyq8A2O","spotify:track:0iTpQYzJnYgh7kIxyq8A2O","https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O","https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O",243160,4,"Two Weeks","Hope Hahn"
"158",0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,"audio_features","0V5cvmTKsYmF5FmGGEAfmS","spotify:track:0V5cvmTKsYmF5FmGGEAfmS","https://api.spotify.com/v1/tracks/0V5cvmTKsYmF5FmGGEAfmS","https://api.spotify.com/v1/audio-analysis/0V5cvmTKsYmF5FmGGEAfmS",160853,4,"Je te laisserai des mots","Hope Hahn"
"159",0.572,0.389,7,-14.251,1,0.0513,0.58,0.93,0.113,0.337,74.965,"audio_features","6tLXz2bWnK7fS3eNHi78On","spotify:track:6tLXz2bWnK7fS3eNHi78On","https://api.spotify.com/v1/tracks/6tLXz2bWnK7fS3eNHi78On","https://api.spotify.com/v1/audio-analysis/6tLXz2bWnK7fS3eNHi78On",177333,4,"Hi Ho'alu","Hope Hahn"
"160",0.75,0.528,2,-4.643,1,0.0277,0.0297,1.15e-05,0.0957,0.864,96.094,"audio_features","3Gp3KGChMmdv5v8ahwOCCR","spotify:track:3Gp3KGChMmdv5v8ahwOCCR","https://api.spotify.com/v1/tracks/3Gp3KGChMmdv5v8ahwOCCR","https://api.spotify.com/v1/audio-analysis/3Gp3KGChMmdv5v8ahwOCCR",156653,4,"Like Or Like Like","Hope Hahn"
"161",0.318,0.595,10,-6.832,1,0.0472,0.01,0.859,0.115,0.247,217.328,"audio_features","0RZozk5kT1jy2ZclUaXzG8","spotify:track:0RZozk5kT1jy2ZclUaXzG8","https://api.spotify.com/v1/tracks/0RZozk5kT1jy2ZclUaXzG8","https://api.spotify.com/v1/audio-analysis/0RZozk5kT1jy2ZclUaXzG8",172943,3,"5 A.M. at the Moxy","Hope Hahn"
"162",0.555,0.491,8,-13.514,0,0.0382,0.38,0.0035,0.403,0.52,148.409,"audio_features","7H8MK8NTVHMYxfHaZyn8xO","spotify:track:7H8MK8NTVHMYxfHaZyn8xO","https://api.spotify.com/v1/tracks/7H8MK8NTVHMYxfHaZyn8xO","https://api.spotify.com/v1/audio-analysis/7H8MK8NTVHMYxfHaZyn8xO",243000,4,"Where Were You Where They Were Also","Hope Hahn"
"163",0.64,0.707,0,-3.973,1,0.0242,0.401,0.00333,0.0896,0.0711,106.013,"audio_features","2AjLglUo6dT2WvXwACfsEL","spotify:track:2AjLglUo6dT2WvXwACfsEL","https://api.spotify.com/v1/tracks/2AjLglUo6dT2WvXwACfsEL","https://api.spotify.com/v1/audio-analysis/2AjLglUo6dT2WvXwACfsEL",235755,4,"1995","Hope Hahn"
"164",0.851,0.337,6,-15.945,0,0.0869,0.0865,0.0345,0.0779,0.89,116.984,"audio_features","4QEzrNSHgsl8gGivKyOF9E","spotify:track:4QEzrNSHgsl8gGivKyOF9E","https://api.spotify.com/v1/tracks/4QEzrNSHgsl8gGivKyOF9E","https://api.spotify.com/v1/audio-analysis/4QEzrNSHgsl8gGivKyOF9E",226154,4,"MF Gloom","Hope Hahn"
"165",0.745,0.489,7,-9.12,1,0.0382,0.411,0.00742,0.196,0.788,134.977,"audio_features","2DCwMh1p0BhUpzA6XFWa2m","spotify:track:2DCwMh1p0BhUpzA6XFWa2m","https://api.spotify.com/v1/tracks/2DCwMh1p0BhUpzA6XFWa2m","https://api.spotify.com/v1/audio-analysis/2DCwMh1p0BhUpzA6XFWa2m",111240,3,"The Thinker","Hope Hahn"
